               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  95,            0.043346,            0.011724,           0.0034368,                   1,             0.21881,              0.4121,            0.085749,            0.071278,           0.0067544,             0.01551,            0.003796,            0.003796,            0.003796
                  96,            0.044224,            0.011958,           0.0041218,                   1,             0.21881,              0.4121,            0.085749,            0.071278,           0.0067544,             0.01551,             0.00373,             0.00373,             0.00373
                  97,            0.046251,            0.011234,           0.0051046,             0.11156,                0.25,             0.37634,            0.068714,             0.07113,           0.0067214,            0.016147,            0.003664,            0.003664,            0.003664
                  98,             0.04703,            0.010281,           0.0049838,             0.13103,             0.27538,             0.28308,            0.076761,            0.065087,           0.0070257,            0.017481,            0.003598,            0.003598,            0.003598
                  99,            0.044121,            0.010605,           0.0031344,             0.10673,                0.25,             0.31012,             0.04404,            0.073269,           0.0066939,            0.015875,            0.003532,            0.003532,            0.003532
                 100,            0.042995,            0.010909,           0.0038993,             0.10673,                0.25,             0.31012,             0.04404,            0.073269,           0.0066939,            0.015875,            0.003466,            0.003466,            0.003466
                 101,            0.042929,            0.011781,           0.0046244,             0.41694,                0.35,             0.32829,            0.062682,            0.069935,           0.0067975,            0.015976,              0.0034,              0.0034,              0.0034
                 102,            0.042536,             0.01092,           0.0039196,             0.18941,             0.36895,             0.32472,             0.10081,             0.06817,           0.0069072,            0.016782,            0.003334,            0.003334,            0.003334
                 103,            0.042235,            0.011029,           0.0042079,             0.19627,             0.38126,             0.22529,            0.068074,            0.072569,           0.0068356,            0.017914,            0.003268,            0.003268,            0.003268
                 104,            0.045333,            0.010789,           0.0034971,             0.19627,             0.38126,             0.22529,            0.068074,            0.072569,           0.0068356,            0.017914,            0.003202,            0.003202,            0.003202
                 105,             0.04334,            0.010981,           0.0029124,             0.19187,             0.36603,             0.19541,            0.043335,            0.074184,           0.0067104,            0.017443,            0.003136,            0.003136,            0.003136
                 106,            0.044056,           0.0089879,           0.0032737,             0.14999,               0.225,             0.31696,            0.077825,            0.072277,           0.0066659,             0.01713,             0.00307,             0.00307,             0.00307
                 107,            0.041085,            0.011406,           0.0043088,             0.18969,               0.225,             0.35095,             0.10883,              0.0686,           0.0068184,            0.017196,            0.003004,            0.003004,            0.003004
                 108,            0.040845,            0.010845,           0.0027733,             0.18969,               0.225,             0.35095,             0.10883,              0.0686,           0.0068184,            0.017196,            0.002938,            0.002938,            0.002938
                 109,             0.04058,           0.0086909,           0.0025272,             0.28975,             0.38503,             0.47042,            0.099948,            0.070607,           0.0068019,            0.017347,            0.002872,            0.002872,            0.002872
                 110,            0.041945,           0.0089062,            0.004379,             0.19241,               0.325,             0.39458,             0.13621,             0.06955,           0.0067085,            0.016182,            0.002806,            0.002806,            0.002806
                 111,            0.039836,           0.0095634,           0.0028219,             0.34989,             0.39192,             0.39735,            0.099034,            0.071541,           0.0066513,            0.014538,             0.00274,             0.00274,             0.00274
                 112,            0.041541,           0.0098667,           0.0027035,             0.34989,             0.39192,             0.39735,            0.099034,            0.071541,           0.0066513,            0.014538,            0.002674,            0.002674,            0.002674
                 113,            0.043505,            0.009493,           0.0034197,             0.48374,             0.40682,             0.49145,             0.11423,            0.070978,           0.0066572,            0.013836,            0.002608,            0.002608,            0.002608
                 114,            0.038721,           0.0094093,           0.0026487,             0.37748,             0.39274,             0.45428,             0.10599,            0.067043,           0.0067119,            0.013138,            0.002542,            0.002542,            0.002542
                 115,            0.044185,            0.010815,           0.0031286,               0.488,              0.4537,              0.6097,             0.14406,            0.071317,            0.006334,            0.011684,            0.002476,            0.002476,            0.002476
                 116,            0.038608,             0.01065,           0.0033144,               0.488,              0.4537,              0.6097,             0.14406,            0.071317,            0.006334,            0.011684,             0.00241,             0.00241,             0.00241
                 117,            0.037097,           0.0098235,           0.0032075,             0.52131,                0.45,             0.60448,             0.14804,            0.071033,           0.0063407,            0.010831,            0.002344,            0.002344,            0.002344
                 118,            0.039005,            0.010279,           0.0041966,             0.43907,                0.35,             0.46006,             0.15817,            0.067341,           0.0065742,            0.010247,            0.002278,            0.002278,            0.002278
                 119,            0.035355,            0.009973,           0.0024738,             0.39521,                0.35,             0.46613,              0.1608,            0.069586,           0.0065718,            0.010127,            0.002212,            0.002212,            0.002212
                 120,            0.043324,           0.0087902,           0.0031566,             0.39521,                0.35,             0.46613,              0.1608,            0.069586,           0.0065718,            0.010127,            0.002146,            0.002146,            0.002146
                 121,            0.042199,           0.0083792,           0.0030986,             0.34101,                0.35,             0.46779,             0.15113,            0.067995,           0.0066856,           0.0098949,             0.00208,             0.00208,             0.00208
                 122,            0.040285,           0.0097201,           0.0029075,             0.36882,                0.35,             0.43739,              0.1063,            0.067058,            0.006732,            0.009803,            0.002014,            0.002014,            0.002014
                 123,            0.036348,            0.010222,           0.0033481,             0.34472,             0.52101,             0.38561,            0.057515,            0.066541,           0.0067489,           0.0095024,            0.001948,            0.001948,            0.001948
                 124,            0.037987,           0.0096328,           0.0039829,             0.34472,             0.52101,             0.38561,            0.057515,            0.066541,           0.0067489,           0.0095024,            0.001882,            0.001882,            0.001882
                 125,            0.038592,           0.0098278,           0.0034441,             0.29128,             0.52691,             0.31484,            0.081023,            0.064783,           0.0067498,           0.0091129,            0.001816,            0.001816,            0.001816
                 126,            0.038637,           0.0088843,           0.0027452,             0.45226,                0.35,             0.40358,            0.099772,            0.063709,            0.006813,           0.0090813,             0.00175,             0.00175,             0.00175
                 127,            0.036096,           0.0094847,           0.0034937,             0.47458,             0.49365,             0.47074,              0.1129,             0.06514,            0.006864,           0.0095365,            0.001684,            0.001684,            0.001684
                 128,            0.035905,            0.010078,           0.0023563,             0.47458,             0.49365,             0.47074,              0.1129,             0.06514,            0.006864,           0.0095365,            0.001618,            0.001618,            0.001618
                 129,            0.035635,            0.007835,           0.0035963,             0.41565,                0.45,             0.44769,            0.090187,            0.066533,           0.0068592,           0.0096069,            0.001552,            0.001552,            0.001552
                 130,            0.034666,           0.0092716,           0.0025475,             0.36455,                0.35,             0.43392,             0.12287,            0.065833,           0.0068648,           0.0095534,            0.001486,            0.001486,            0.001486
                 131,            0.033916,           0.0093551,           0.0029611,             0.37806,             0.42934,             0.44458,              0.1537,            0.065605,           0.0068651,            0.009363,             0.00142,             0.00142,             0.00142
                 132,            0.034503,            0.010115,             0.00276,             0.37806,             0.42934,             0.44458,              0.1537,            0.065605,           0.0068651,            0.009363,            0.001354,            0.001354,            0.001354
